Username,Comment
@GENJILASYA,Anyone 2025
@userSD007,"This song feels like a song in Kothabangaru lokam movie - ""Nenani neevani"""
@vaishnavisrija2074,🌹🌷🌹🌷🌹🌹🌹🌷🌹🌷🌹🌷🌹🌹🌹🌷🌷🌹🌷🌹🌷🌹🌷🌹🌷🌹🌹🎶🎶🎶🎶🎶🎶🎶
@tarakeswararaomarla6762,"తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా

ఇంత లోనే అంత మైకమ్ పనికిరాదే ప్రాణమ
పరవశం లో మునిగిపోతే పైకిరాగాలమా

తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా

కుడివైపున ఇంకో హృదయం ఉన్న సరిపోదో ఏమో ఈ వెలుగును దాచనంటెయ్
పడమర లో నైనా హృదయం ఈరోజే చూసా నెమో మనసంతా ప్రేమై పోతే
ఎగిరొచ్చినా ఎదో లోకం న చుట్టూ వెలిసిందేమో
మైమరపున నే నిలిచుంటే

ఇంత లోనే అంత మైకమ్ పనికిరాదే ప్రాణమ
పరవశం లో మునిగిపోతే పైకిరాగాలమా

తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా

ఇదే క్షణం సిలై నిలవని
సదా మనం ఇలా మిగలని

జన్మంటే ఇదంటు తెలిదేయ్ ఇన్నాళ్లు
ని జంటై ఇవ్వాలె జీవించా నూరేళ్లు

తనేమందో మదెం విందో
తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా

ఇంత లోనే అంత మైకామ్ పనికిరాదే ప్రాణమ
పరవశం లో మునిగిపోతే పైకిరాగాలమా

తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా"
@subtodubanimes3627,Any one in2026
@ShivakumarGyoursfavourite,Shiva 5.9 but bakkaga pottiga vunnavadiki chepisthara
@LainaYadav,❤️🫶🏼
@arunny2610,❤
@Sagarinsun,"I WANT BODY LIKE STRONG FOREVER
I WANT THIS GIRLFRIENDS
I WANT ENJOY EVERY SECOND LIFE FOREVER 
I WANT SEX
I WANT INTIMATION
I WANT FAST
I WANT ANY
I WANT FREEDOM
I WANT LOVE
I WANT HAPPY
I WANT BEAUTIFUL WOMAN 
I WANT BEAUTIFUL
I WANT SEXY BODY
I WANT EVERY ONE HAPPY
I WANT LOVE ❤️ FOREVER
I WANT SEXY GIRL
I WANT GIRL TO HAVE SEX WITH BOY
I WANT BOY TO HAVE SEX WITH GIRL
I WANT ZERO FEAR
I WANT DARLING
I WANT DARING
I WANT HANDSOME
I WANT SMART"
@Sagarinsun,"EVERY ONE HAVE AND SHOULD BE LIKE FAST, SPARK, EVERY SECOND ENJOYING, MOVE FORWARD FOR WHAT YOU INDIVIDUAL WANT, AND ALL ON WORLD ANY THING AT  ANYWHERE ON THIS BIG BANG I LOVE IT ❤️ FOREVER AND NO DEATH , ANY WHERE, GOING ADVANCE BE HAPPY EVERY INDIVIDUAL I LOVE IT FOREVER ❤️ BE ENJOYING I LOVE IT ❤FOREVER 
FINALLY EVERY GIRL AND BOY  WANT IS INTIMATION FOR BOY WITH GIRL AND GIRL WITH BOY THIS IS FINALLY 
I LOVE IT ❤️ FOREVER 
BE EVERY SECOND ENJOYING I LOVE IT ❤️ FOREVER OK"
